,Tweets,Translated,polarity_score,analysis_result
60,mcm mana geng akak ikhtiar sembuhkan covid bunga cengkih begitu la ikhtiar ambik vaksin orang ambik vaksin ni kebanyakannya golongan terpelajar kami blajar masa sekolah dulu bahawa blh rosakkan akidah sekiranya prcaya kesembuhan tu dtg ubat,how do you guys try to cure covid with cloves? that's how they try to get vaccines. the people who get vaccines are mostly educated people. we learned in school that you can break your faith if you believe that healing comes with medicine.,0.125,Positive
61,bagilah elaun bonus lebih semua doktor nurse time kawal covid diorang dahlah kerja tahun lepas non stop sekarang tambah sop kena tunjuk jarum dan selepas suntik bertambah kerja if vaksin orang hari macam mana,"give more bonus allowance for all doctors, nurses, time to control covid, people already worked non-stop last year, now add soup, have to show needles and after injection, more work if people are vaccinated, what will the day be like",0.5,Positive
62,eryn nak buat bisnes lt at the same time gt me nak jual apa vaksin anis nak jual covid eryn me looking at anis,eryn wants to do business lt at the same time gt me want to sell what vaccine anis want to sell covid eryn me looking at anis,0.0,Positive
63,china mesir sepakat sumbang vaksin covid palestina sindonews bukanberitabiasa,"china, egypt, agrees to donate covid vaccine to palestine, sindonews is not ordinary news",0.0,Positive
64,pastu persoalkan dah cucuk vaksin still kena covid teruk,"please ask if you have had the vaccine, you still have bad covid",0.5,Positive
65,dr pertama tidak percaya covid tetiba bikin vaksin yasallaaamm,"at first, i didn't believe that covid would make a vaccine, yessallaaamm",0.25,Positive
66,berlangsung hari dn sembako dibawa pedagang hingga pembeli trkecil ibu rumahtangga warung nampak tutup dipasang terpal jalan buka kearah pasar mohon pos darurat covid dipasar vaksin swab dn disiplin prokes berantas tuntas covid,"the day goes on and the groceries are brought by the traders until the smallest buyers, the housewives, the stalls, appear closed, put tarpaulins, the road is open towards the market, request a covid emergency post at the swab vaccine market, and discipline, the health program will eradicate covid completely",-0.1166666666666666,Negative
67,klaster covid merebak dalam skuad spezia penyebabnya bermula adanya pemain menolak diberi vaksin,"the covid cluster spread in the spezia squad, the cause of which started with players refusing to be vaccinated",0.0,Positive
68,nih orang kontak wa yang kalau ngomong masalah covid spelein sangat tbtb blg idup mati tangan tuhan ikhtiar jatohnya malah isthza bid diin vaksin bukan solusi gapernah dikasih emot orangnya,"here's a contact person, when talking about the covid spelein problem, it's really, really, but it's still alive and dead, god's hand, the effort is going to fall, instead the bid diin vaccine isn't a solution, i haven't been given the emotion of the person",0.0,Positive
69,kesimpulan ada vaccine bisa menahan infeksi covid janganlah engkau jadi bodoh laporan dokter wafat walupun di vaksin,"the conclusion is that there is a vaccine that can prevent covid infection, don't be stupid, the doctor's report died even though the vaccine was given",-0.7999999999999999,Negative
70,jaman bayi kalau divaksin memang lebih sekali vaksin covid doanggg woey,"when i was a baby, if i was vaccinated, there was more than one covid vaccine, wow",0.5,Positive
71,polisi bicara pidana pemakai surat vaksin covid palsu,police talk about criminal use of fake covid vaccine certificates,-0.45,Negative
72,lebih tepatnya dahulukan ibadah proyek covid pedagang vaksin,"more precisely, prioritizing the worship of the vaccine trader covid project",0.375,Positive
73,sesak nafas asma kambuh vaksin covid,shortness of breath asthma relapse covid vaccine,0.0,Positive
74,nurse pegawai kesihatan bagi vaksin kosong tu hope family korang semua mati kena covid kesah laa arahan orang atas kau suhabat jugak lan,"the nurse of the health officer gave the empty vaccine, i hope your family all die of covid, is it okay?",-0.15,Negative
75,kejadian sama gua euy ngurus nyokap positif gua covid survivor sudah vaksin az shot erat sangat kontak terus swab negatif sempet taat prokes nungguin emak saturasi naik turun benerin posisi tidur engap jadi suka lupa posisi masker,"what happened to me, i'm taking care of my positive mother, i'm a covid survivor, i've had the az shot vaccine, it's very close, i keep in contact with negative swabs, i obey the prokes, i'm waiting for my mother, the saturation goes up and down, i fix sleeping position, so i forget to forget the position of the mask",0.0464766714766714,Positive
76,benar vaksin covid bahan pembuatanya pake adenovirus berasa inget dulu katanya proyek optogenetik dreadds mind control drugs akan berakhir tahun,"it's true that the covid vaccine uses adenovirus, it feels like i remember the old days, they said the optogenetic project dreadds mind control drugs will end in 2018",0.3,Positive
77,ternyata vaksin beredar ini adl vaksin hanya melindungi vaksin hasilnya sdg diujicoba diabudabi ya as know every body banyak karena covid alasannya just keep healt stay save,"it turns out that the circulating vaccine is a vaccine that only protects the vaccine, the result is being tested in culture, right, as you know, every body has a lot of it because of covid, the reason is just keep healthy, stay save",0.0,Positive
78,ganjar pranowo ungkap jateng kekurangan stok vaksin covid,ganjar pranowo said that central java has a shortage of covid vaccine stocks,0.0,Positive
79,ppkm silahkan dine d larang kumpul d larang antri vaksin grudukan d perbolehkan kalau niatnya memutus rantai covid datengi rumah warga vaksin d rumah masing berkerumun,ppkm please dine d forbid gathering to ban the queue of the vaccine of granging and allowed if the intention is to break the chain of the covid from the house of the vaccine residents in their respective houses,0.0,Positive
80,vaksin kurangi risiko berat masyarakat diminta ragu vaksinasi covid,"vaccines reduce serious risk, people are asked to be hesitant about covid vaccinations",0.0,Positive
81,vaksin covid terbukti efektif mencegah gejala berat kematian hampir nakes kudus berjumlah orang divaksin dosis hanya nakes terpapar dr jumlah keseluruhan sebagian besar sembuh bekerja,covid vaccine is proven to be effective in preventing the symptoms of the severe death of almost the holy nakes number of people who are vaccinated doses only nakes exposed to the total number of most healing work,0.24,Positive
82,sebanyak juta dosis vaksin jadi sinopharm tiba indonesia senin juli keseluruhan kedatangan vaksin merupakan kedatangan vaksin covid tahap sejak desember jokowi lawan pandemi,as many as million doses of the vaccine so sinopharm arrived indonesia monday july the overall arrival of the vaccine was the arrival of the covid vaccine stage since december jokowi against the pandemic,0.25,Positive
83,warga pondok pinang khawatir banyak wna mendapatkan vaksin covid,pondok pinang residents are worried that many foreigners will get the covid vaccine,0.5,Positive
84,semalam england dah longgarkan banyak restriction covid kat negara diorang sampaikan siapa dah dose vaksin pergi kelab malam kat malaysia nak faham infografik dine untuk dah dose susah,"yesterday, england loosened a lot of covid restrictions in the country, people told people who had a dose of the vaccine went to a night club in malaysia to understand the infographic, it's difficult to get a dose",-0.1923076923076923,Negative
85,penerapan ppkm darurat percepatan vaksinasi nasional covid bertempat gerai vaksin keliling presisi polres metro jakarta pusat posko ktj johar baru jl johar baru iv a kelurahan johar baru jakarta pusat senin wib,implementation of emergency ppkm acceleration of national covid vaccination at precision mobile vaccine outlets jakarta metro police headquarters ktj johar baru jl johar baru iv a johar baru sub-district central jakarta monday wib,0.0,Positive
86,humas polsek johar baru polres metro jakarta pusat gerai vaksin keliling presisi polres metro jakarta pusat kapolsek johar baru kompol edison bersama anggota monitoring kegiatan vaksinasi tahap i umum rangka percepatan vaksinasi nasional covid masa,"johar police public relations, metro police, jakarta metro police precision mobile center, jakarta metro police, johar police headquarters, police commissioner edison and members monitoring phase i general vaccination activities in order to accelerate the national covid-19 vaccination period",0.0,Positive
87,allah punya lama tunggu nak vaksin st appointment tahu closed contact covid allahuakhbar,"allah has been waiting for a long time for the vaccine, st. appointment, you know closed contact for covid, allahuakhbar",-0.075,Negative
88,gelombang baru covid seluruh dunia mengakibatkan gejala berat kematian thd yang di vaksin manfaatkan segera vaksinasi gratis jangan tunda ayo vaksin,"a new wave of covid all over the world is causing severe symptoms of death to those who are vaccinated. take advantage of the free vaccination immediately, don't delay, get vaccinated",0.2681818181818182,Positive
89,ternyata lingkungan sadar covid mau vaksin privilege,it turns out that the environment that is aware of covid wants a privilege vaccine,0.25,Positive
90,kalau pemerintah bisa menjamin ketersediaan vaksin pemerintah wajib menyediakan bed icu terjadi perburukan pasien tugasnya jangan bisanya memberi obat covid mau main lepas tangan suruh isoman dipantau fatal akibatnya,"if the government can guarantee the availability of vaccines, the government is obliged to provide icu beds, there will be a worsening of the patient's job, don't give covid medicine, want to play hands off, order isoman to be monitored, the consequences will be fatal",0.125,Positive
91,sertifikat vaksin covid jadi syarat perjalanan kepri,a covid vaccine certificate is a condition for kepri travel,0.0,Positive
92,alhamdullillah vaksin lengkap dr akhir april alhamdulillah sehat kena covid smpe ini tetap prokes menyepelekan berusaha menjaga pola hidup kewarasan moga gila smg semua berikhtiar diberikan hasil baik tidak usaha sia,"thank god, the complete vaccine from the end of april, thank god, i'm healthy, i got covid, even though i'm still working on trivializing trying to maintain a sane lifestyle, hopefully i'll go crazy, so that all efforts will be given good results, no effort in vain",0.4333333333333333,Positive
93,gambarnya beda apakah masalah hambalang beres apa semua dipenjara lebih memilih tangani covid bangun candi hambalang hambalang bukan prioritas lebih baik dananya buat beli vaksin,"the picture is different, is the problem of servanthood solved, are all imprisoned prefer to deal with covid, building the temple of servant servant is not a priority, it is better to have the funds to buy vaccines",-0.125,Negative
94,maaf uni dok kalau salah teman aq dokter spesialis anak kirim wag panduan utk anak dibawah umur pemberian vaksin covid sinovac anak remaja dosisnya juga lengkap,"sorry uni, if i'm wrong, my friend, a pediatrician, sent wag guidelines for underage children, giving the covid sinovac vaccine to teenagers, the dosage is also complete",-0.3,Negative
95,udahlah ikutin saran dilepas dengan syarat kalau kena covid urus diri sendiri berobat pakai dana sendiri pemerintah tugasnya siapin vaksin sebanyak banyaknya,"just follow the advice and let it go with the condition that if you get covid, take care of yourself and seek treatment using your own funds. the government's job is to prepare as many vaccines as possible",0.3111111111111111,Positive
96,yang vaksin kena covid parah itukan pilihan kenapa dipaksa vaksin,those who get the vaccine get severe covid that's the choice why forced the vaccine,-0.3,Negative
97,humas polsek johar baru polres metro jakarta pusat gerai vaksin presisi polres metro jakarta pusat polsek johar baru kapolsek johar baru kompol edison bersama anggota monitoring kegiatan vaksinasi umum rangka percepatan vaksinasi nasional covid bertempat,"johar polsek public relations, metro polres, jakarta center for precision vaccines, metro polres, jakarta new johar polsek center, johar police chief, kompol edison and members monitoring general vaccination activities in order to accelerate the national covid vaccination taking place",0.0,Positive
98,kemenkes mengumumkan pemberian dosis vaksin covid jam terakhir hingga total per hari dosis wamnews,the ministry of health announced the distribution of doses of the last hour of the covid vaccine to the total dose per day wamnews,0.0,Positive
99,kebetulan bayi gampang sakit langganan rawat rumah sakit trus detik divaksin campak polio vaksin covid belum keburu sakit lain saya belum ngalami penyakit² ada vaksinnya kecuali cacar,"coincidentally, babies get sick easily, they are hospitalized, then they are vaccinated against measles, polio, the covid vaccine hasn't been rushed to another illness, i haven't experienced any diseases, there are vaccines, except for smallpox",-0.2014880952380952,Negative
100,arab saudi vaksin covid luar negeri salah satu persyaratan dipenuhi warga arab saudi harus menerima dosis vaksin covid,saudi arabia overseas covid vaccine one of the requirements fulfilled by saudi arabian citizens is that they must receive a dose of the covid vaccine,-0.125,Negative
101,berbalik pd kisah td kes meninggal tu sbb covid sbb vaksin tau malaysian capai herd immunity selagi tu kena strict jaga sop sb risiko kena covid sekarang ni still tggi,going back to the story that the case did not die because of covid because the vaccine is known to malaysians to achieve herd immunity as long as you have to keep strict sop because of the risk of getting covid now this is still the case,0.0,Positive
102,usah vaksin penting gaya hidup sehat imunitas tinggi insya allah kena covid tell that these olympic athletes get vaccined stay the fork home,"need vaccines, it's important to live a healthy lifestyle, high immunity, god willing, you will get infected with covid, tell that these olympic athletes get vaccined, stay the fork home",0.3533333333333333,Positive
103,semoga allah s w t membuka hati umat nya anti vaksin ni amin one sentence for them covid is real,"may allah s.w.t open the hearts of his people against this vaccine, amen. one sentence for them, covid is real",0.1,Positive
104,presiden jajarannya terus berupaya keras menyediakan vaksin rakyat indonesia dengan vaksin rakyat terlindungi resiko kematian gejala berat akibat covid dan vaksin terbaik vaksin tersedia,the president of his staff continues to work hard to provide vaccines for the people of indonesia with vaccines that protect the people from the risk of death with severe symptoms due to covid and the best vaccines available,0.2458333333333333,Positive
105,apasih covid tu nular kalau masyarakat nya males vaksin trus mau smpe kapan pandemi slesai giliran kena baru deh treak,"is it that covid is contagious if the people are lazy to vaccinate and then when the pandemic is over, it's their turn to get hit and run",0.0075757575757575,Positive
